Q2,W,epsilon,XSEC,Stat,Sys,ScaleType
9.699,1.6,0.6631,3.560409219351178e-06,5.977571038368693e-08,3.073345238143937e-07,1.2073935100300562e-05
9.699,1.65,0.6534,4.400295295963132e-06,6.779534962490397e-08,3.704960633295038e-07,1.4922127360207913e-05
9.699,1.7,0.6433,5.9282521766262655e-06,8.483328864752187e-08,4.339658440855725e-07,2.0103681242529978e-05
9.699,1.75,0.6327,6.177769714503656e-06,8.223847043947266e-08,4.415622681138633e-07,2.094983638176069e-05
9.699,1.8,0.6216,6.344506848867698e-06,8.049275839158448e-08,4.3180713613393554e-07,2.1515269514609503e-05
9.699,1.85,0.6099,7.243898326385649e-06,8.575326838775333e-08,4.740624381736561e-07,2.456525440687817e-05
9.699,1.9,0.5977,8.382634785750776e-06,9.348314313069265e-08,5.665068414558232e-07,2.8426897622493172e-05
9.699,1.95,0.5849,9.506109928856404e-06,9.883502493032005e-08,6.294090444995114e-07,3.22367871966838e-05
9.699,2.0,0.5715,1.0662857966161507e-05,1.0530638527381107e-07,6.880528988404699e-07,3.615951064485166e-05
9.699,2.05,0.5575,1.2051616049983484e-05,1.1234516481794605e-07,7.721108854742918e-07,4.0869018440458346e-05
9.699,2.1,0.5429,1.347141502606292e-05,1.1794223855318089e-07,8.757766908443505e-07,4.56837910231954e-05
9.699,2.15,0.5276,1.502304840771597e-05,1.2620862967322186e-07,9.924376008621246e-07,5.094563582679717e-05
9.699,2.2,0.5117,1.666541522198535e-05,1.3508985578941324e-07,1.0777690678210144e-06,5.651517267065174e-05
9.699,2.25,0.4951,1.8233454555038977e-05,1.4417192516669317e-07,1.2052495795426314e-06,6.183265276229643e-05
